Page. 1
Send ^[ [1;14B                                                  ^⬆️ command ↓
Send ^[ [1;2D                                                   ⬆️ ←
Send ^[ [1;5D                                                   ^←
Send ^[ [1;6D                                                   ^⬆️ ←
Send ^[ [1;3D                                                   opt ←
Send ^[ [1;4D                                                   opt ⬆️ ←
Send ^[ [1;7D                                                   ^opt ←
Send ^[ [1;8D                                                   ^opt ⬆️ ←
Send ^[ [1;9D                                                   command ←
Send ^[ [1;10D                                                  ⬆️ command ←
Send ^[ [1;2C                                                   ⬆️ →
Send ^[ [1;5C                                                   ^️→
Send ^[ [1;6C                                                   ^⬆️ →
Send ^[ [1;3C                                                   opt →
Page. 9
Send ^[ [1;4C                                                   opt ⬆️ →
Send ^[ [1;7C                                                   ^opt →
Send ^[ [1;8C                                                   ^opt ⬆️ →
Send ^[ [1;9C                                                   command →
Send ^[ [1;10C                                                  ⬆️ command →
Send ^[ [1;2P                                                   ⬆️ F1
Send Hex Codes: 0x1c 0x09                                       opt F1
Send Hex Codes: 0x1c 0x6e                                       opt ⬆️ F1
Send ^[ [1;2Q                                                   ⬆️ F2
Send Hex Codes: 0x1c 0x53 0x1c 0x09 0x1c 0x6e 0x1c 0x6e         opt F2
Send Hex Codes: 0x1c 0x53 0x1c 0x09 0x1c 0x63                   opt ⬆️ F2
Send ^[ [1;2R                                                   ⬆️ F3
Send Hex Codes: 0x1c 0x7c 0x1c 0x09 0x1c 0x6e 0x1c 0x6e         opt F3
Send Hex Codes: 0x1c 0x7c 0x1c 0x09 0x1c 0x63                   opt ⬆️ F3
Send ^[ [1;2S                                                   ⬆️ F4
Send Hex Codes: 0x1c 0x58                                       opt F4
Send ^[ [15;2~                                                  ⬆️ F5
Send ^[ [17;2~                                                  ⬆️ F6
Page. 10
Send ^[ [18;2~                                                  ⬆️ F7
Send ^[ [19;2~                                                  ⬆️ F8
Send ^[ [20;2~                                                  ⬆️ F9
Send ^[ [21;2~                                                  ⬆️ F10
Send ^[ [23;2~                                                  ⬆️ F11
Send ^[ [24;2~                                                  ⬆️ F12
Ignore                                                          F13
Ignore                                                          F14
Ignore                                                          F15
Send ^[ [1;2H                                                   ⬆️ Home
Send ^[ [1;5H                                                   ^Home
Send ^[ [1;3H                                                   opt Home
Send ^[ [1;7H                                                   ^opt Home
Send ^[ [1;8H                                                   ^opt ⬆️ Home
Send ^[ [1;2F                                                   ⬆️ End
Send ^[ [1;5F                                                   ^End
Send ^[ 11;3F                                                   opt End
Send ^[ [1;7F                                                   ^opt End
Page. 11
Send ^[ [1;8F                                                   ^opt ⬆️ End
Send ^[ [5;2~                                                   ⬆️ Page Up
Send ^[ [5;5~                                                   ^Page Up
Send ^[ [5;3~                                                   opt Page Up
Send ^[ [5;7~                                                   ^opt Page Up
Send ^[ [5;8~                                                   ^opt ⬆️ Page Up
Send ^[ [6;2~                                                   ⬆️ Page Down
Send ^[ [6;5~                                                   ^Page Down
Send ^[ [6;3~                                                   opt Page Down
Send ^[ [6;7~                                                   ^opt Page Down
Send ^[ [6;8~                                                   ^opt ⬆️ Page Down
